Key	"Experiment 1"	"Experiment 2"	"Experiment 3"	"Experiment 4"	"Experiment 5"	"Experiment 6"	"Experiment 7"	"Experiment 8"	"Experiment 9"	"Experiment 10"	"Experiment 11"	"Experiment 12"	"Experiment 13"	"Experiment 14"	"Experiment 15"	"Experiment 16"	"Experiment 17"	"Experiment 18"	"Experiment 19"	"Experiment 20"	"Experiment 21"	"Experiment 22"	"Experiment 23"	"Experiment 24"	"Experiment 25"	"Experiment 26"	"Experiment 27"	"Experiment 28"	"Experiment 29"	"Experiment 30"	"Experiment 31"	"Experiment 32"	"Experiment 33"	"Experiment 34"	"Experiment 35"	"Experiment 36"	"Experiment 37"	"Experiment 38"	"Experiment 39"	"Experiment 40"	"Experiment 41"	"Experiment 42"	"Experiment 43"	"Experiment 44"	"Experiment 45"	"Experiment 46"	"Experiment 47"	"Experiment 48"	"Experiment 49"	"Experiment 50"	"Experiment 51"	"Experiment 52"	"Experiment 53"	"Experiment 54"	"Experiment 55"	"Experiment 56"	"Experiment 57"	"Experiment 58"	"Experiment 59"	"Experiment 60"	"Experiment 61"	"Experiment 62"	"Experiment 63"	"Experiment 64"	"Experiment 65"	"Experiment 66"	"Experiment 67"	"Experiment 68"	"Experiment 69"	"Experiment 70"	"Experiment 71"	"Experiment 72"	"Experiment 73"	"Experiment 74"	"Experiment 75"	"Experiment 76"	"Experiment 77"	"Experiment 78"	"Experiment 79"	"Experiment 80"	"Experiment 81"	"Experiment 82"	"Experiment 83"	"Experiment 84"	"Experiment 85"	"Experiment 86"	"Experiment 87"	"Experiment 88"	"Experiment 89"	"Experiment 90"	"Experiment 91"	"Experiment 92"	"Experiment 93"	"Experiment 94"	"Experiment 95"	"Experiment 96"	"Experiment 97"	"Experiment 98"	"Experiment 99"	"Experiment 100"	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Subcellular location [CC]
insA	8.0311	8.0676	8.374	8.601	8.1772	8.2581	8.8248	9.3283	8.7763	9.7444	9.2119	8.7777	9.5193	9.0821	9.8049	9.8173	8.9032	9.0635	8.4513	8.9982	9.1545	8.9427	9.5734	9.4543	9.3735	9.4799	8.8197	8.9537	8.555	9.2244	9.2497	8.7713	9.3155	9.1069	9.74	9.4725	9.6825	9.4814	9.0995	9.3249	8.3716	8.4417	8.2681	9.0561	9.1331	9.14	8.5267	8.6747	8.5726	8.3591	8.637	8.5591	8.7165	8.611	8.6382	8.6347	8.8353	9.0777	8.5588	8.58	8.7442	8.5832	8.8627	8.7819	8.9679	8.7132	8.368	8.5846	8.3602	8.6574	8.5765	8.6169	8.7468	8.6489	8.6114	9.1992	8.803	8.7794	8.5957	8.5278	8.5319	8.3686	8.5229	8.7521	9.2492	9.0818	9.5108	9.4159	9.1309	9.0897	8.8341	9.0176	8.8147	8.7912	9.6346	9.4447	9.481	9.9894	9.4589	9.9519				
insB	7.9083	7.0982	8.0075	7.3329	7.8196	7.8672	7.4869	7.2172	7.9325	7.8299	7.5755	7.27	7.7918	7.3484	8.2361	7.9093	7.2478	6.9819	7.0139	7.1021	7.0155	7.3676	7.323	7.3332	7.3762	7.6091	7.513	7.3734	7.4054	7.8662	7.6381	7.6748	7.8531	7.6721	7.7922	7.5661	8.252	7.7319	7.9423	8.03	7.2673	7.2074	7.4402	7.6776	7.2153	7.5443	7.4095	7.4514	7.4599	7.8753	7.4194	7.5892	7.3394	7.437	7.4477	7.5479	7.5592	7.4928	7.5362	7.5657	7.8079	7.8821	7.6162	7.5018	7.2934	7.6072	7.5713	7.6874	7.3032	7.5278	7.4467	7.804	7.5998	7.6085	7.6341	7.2041	7.527	7.5107	7.6649	7.5434	7.3981	7.3746	7.4401	7.2813	7.484	7.4936	7.6304	7.6055	7.7682	7.5331	7.4131	7.5427	7.4922	7.7276	7.4421	7.4582	7.5461	7.6346	7.8077	7.7544				
insD	8.8557	8.6904	8.8837	9.1112	8.5275	9.064	8.9309	8.7238	9.8326	9.7435	9.1808	9.1496	9.4476	9.5816	9.5842	9.636	8.6041	8.9626	8.6899	8.6278	8.7254	8.7667	8.9179	9.1294	8.9224	9.3073	9.2673	9.2652	8.9901	8.9804	9.2742	9.3129	9.2443	9.0911	9.2962	9.651	9.509	9.4561	9.1738	9.4268	8.6434	8.9254	8.6887	8.9045	8.8531	8.8285	8.4392	8.5178	8.8705	8.8794	8.6163	8.6473	8.801	8.8071	9.0298	8.5562	8.6534	9.0141	8.6668	8.6289	8.8189	8.9735	8.8233	8.7616	8.6267	8.7916	8.605	8.812	8.6872	8.6488	8.6602	8.4905	8.7125	8.3863	8.7122	8.7236	8.7955	8.5733	8.5344	8.5528	8.7046	8.656	8.7953	8.5358	8.6963	8.7987	9.0475	8.7586	8.8171	8.7177	8.2907	8.5139	8.7043	8.3947	8.673	8.2684	9.0573	8.6865	8.4683	9.6011				
insG	8.2158	8.3872	8.3158	8.262	8.3255	8.3787	8.4313	8.5654	8.0307	8.1838	8.3245	8.493	8.3132	8.4833	8.1581	8.2722	8.0549	8.2318	8.181	7.8892	8.0019	7.9245	8.0276	8.1142	8.0757	7.6786	7.7869	7.9955	7.5291	7.6929	7.7247	7.6184	7.8218	7.7977	7.9035	7.7626	7.7613	7.8611	7.7849	7.8679	8.1469	8.2593	8.1031	8.2703	8.2421	8.2047	7.8557	7.8019	7.8543	8.0081	8.1311	7.964	7.8582	7.9011	7.8875	8.0903	8.104	8.1263	8.1177	8.1109	8.2278	8.4172	8.2529	8.0428	8.016	8.2173	8.0051	8.0752	8.1592	7.9365	8.2119	8.2364	8.4044	8.0899	8.3574	8.2352	8.0347	8.1345	8.1428	8.2017	8.0674	8.2012	8.0227	7.9876	7.9734	8.2098	8.0012	8.0599	8.1579	7.9687	7.9457	8.0315	8.0528	7.9883	7.9419	7.6385	8.0014	7.8166	7.877	7.9296	transposition, DNA-mediated [GO:0006313]		DNA binding [GO:0003677]| transposase activity [GO:0004803]	
insH	6.6252	6.8021	6.7224	6.7438	7.1266	6.7781	7.2566	7.1484	8.6673	8.6728	8.372	7.9999	8.2581	8.3084	8.5743	8.5037	8.1953	8.3241	8.3009	8.2485	8.1202	8.0801	8.3549	8.4685	8.4721	8.4226	7.9702	8.54	8.3479	8.4116	8.4585	8.4406	8.5154	8.4989	8.5378	8.6314	8.2503	8.3489	8.7193	8.6651	8.1837	8.2558	8.2603	8.2142	8.0343	8.2034	8.1231	8.0068	8.1991	8.1924	7.9846	8.0179	7.9561	8.0904	8.0873	8.0655	8.0696	8.0782	8.2003	8.2159	8.2507	8.2838	8.2703	8.2061	8.2047	8.195	8.207	8.068	8.0949	8.0866	8.2138	7.9364	7.9014	7.7537	8.1413	7.9858	7.8563	8.1354	8.1245	7.9998	8.1569	8.0474	8.163	8.2174	8.5184	8.5557	8.21	8.3905	8.8213	8.825	8.909	8.9015	8.6909	8.7328	8.4043	8.259	8.4368	8.0914	8.293	8.4017				
insJ	7.9776	8.0662	7.8613	7.9443	7.9575	8.055	8.1694	8.168	7.7467	7.5425	7.7417	7.7968	7.8219	8.0567	7.6381	7.8945	7.1193	7.1491	7.3942	7.2362	7.1995	7.2969	7.5971	7.3396	7.2304	7.489	7.5391	7.7885	7.4321	7.5468	7.5366	7.3367	7.624	7.4616	7.6515	7.6835	7.5156	7.8563	7.686	7.6656	7.2682	7.4583	7.3961	7.4008	7.5342	7.5351	7.1846	7.2851	7.3009	7.4353	7.2328	7.2486	7.2202	7.3681	7.3364	7.3812	7.4423	7.5242	7.5013	7.4067	7.208	7.4164	7.3723	7.4339	7.2739	7.5613	7.4177	7.3283	7.3848	7.2451	7.3665	7.3489	7.4794	7.2297	7.3968	7.4497	7.2556	7.4552	7.4061	7.3443	7.383	7.5142	7.3581	7.0608	7.42	7.6088	7.5424	7.4196	7.5275	7.4357	7.1932	7.3325	7.4283	7.3686	7.2407	7.0681	7.7064	7.1062	7.0852	7.4301			sequence-specific DNA binding [GO:0043565]	
insK	6.9762	7.0905	6.9397	7.1277	7.0038	7.4366	7.162	6.9856	5.9828	5.8971	6.0883	6.1215	6.1101	6.5009	5.8074	5.9869	5.7986	5.6653	5.5921	5.4094	5.6852	5.8499	5.8565	5.7238	5.7916	5.7383	5.903	5.9785	6.1554	6.0541	5.8659	5.9726	6.048	6.1932	6.1291	6.2326	6.0023	6.3047	5.9961	6.0179	5.4382	5.7199	5.569	5.4015	5.7523	5.6562	5.4887	5.6056	5.5966	5.5643	5.4402	5.3572	5.3591	5.422	5.3367	5.5579	5.5667	5.6145	5.736	5.6254	5.5287	5.5487	5.7052	5.7313	5.6036	5.6485	5.5086	5.536	5.6531	5.4323	5.7416	5.4668	5.4574	5.4268	5.5328	5.5993	5.4648	5.6084	5.5981	5.6475	5.6323	5.695	5.3414	5.6949	5.7109	6.1987	5.8907	5.7541	5.8123	5.8644	5.7262	5.4492	5.8013	5.701	5.5529	5.7099	6.1886	5.7035	5.9245	5.464	cellular response to DNA damage stimulus [GO:0006974]| DNA integration [GO:0015074]| DNA recombination [GO:0006310]| transposition [GO:0032196]		DNA binding [GO:0003677]	
insM	8.0574	7.7561	8.1875	7.7993	8.2742	7.998	8.2649	8.0794	7.7165	7.8236	8.052	8.248	7.4355	7.6218	7.7493	7.7869	7.178	7.5424	7.4159	7.2276	7.4534	7.3109	7.7866	7.973	8.226	7.3018	7.5513	7.5958	7.2839	7.4487	7.5797	7.5246	7.5441	7.3402	7.537	7.6933	7.4657	7.5749	7.4727	7.364	7.0541	7.2267	7.2874	7.3217	7.2939	7.308	6.9601	7.0115	7.0215	6.8234	6.9512	6.9153	7.0273	7.0359	6.9085	7.2023	7.2332	7.1705	7.1721	7.129	7.1312	7.2439	6.9718	7.1215	7.1085	7.2666	6.9611	6.8761	7.0618	7.0004	7.1019	6.9823	7.1136	6.9749	7.2384	7.2543	7.1232	7.0356	7.079	7.3091	7.05	7.215	7.0832	7.1434	7.507	7.4445	7.7273	7.4615	7.4827	7.4069	7.0601	7.2615	7.1227	7.179	7.2712	7.2132	7.255	7.0609	7.1958	7.3084				
insN	7.4094	7.8298	7.5345	8.1219	8.061	7.5628	8.4549	8.3901	9.6403	9.4675	9.302	8.9429	9.2157	9.2456	9.4209	9.4467	8.9136	8.8455	8.8678	9.029	9.0866	8.9984	9.4969	9.4784	9.4738	9.2162	9.0482	9.5601	9.2532	9.3374	9.6275	9.277	9.6688	9.4169	9.6669	9.2179	9.505	9.5316	9.7903	9.7766	8.8015	9.0781	9.122	9.1945	8.8841	9.0796	8.7002	8.9065	9.0752	9.1945	9.1727	8.9617	9.0491	9.118	9.0843	8.9276	9.0112	9.037	8.9892	8.8409	8.899	9.253	9.2056	9.1155	9.0053	8.9922	8.8937	8.9262	8.9959	8.9553	9.098	8.9685	9.0075	8.8042	8.9384	8.7894	9.1073	9.0774	8.7339	8.8004	8.9993	9.0557	8.9633	9.3055	9.3524	9.7635	9.0744	9.3537	9.2427	9.0303	9.2013	9.2062	9.241	9.2682	9.3517	9.4919	9.3171	9.6031	9.103	10.193				
insO	8.336	8.3893	8.1424	7.9342	7.7737	8.3811	8.2673	8.1814	7.4639	7.2538	7.7567	8.1816	7.2868	7.3392	6.9658	7.1257	7.4095	7.4736	7.5259	7.3437	7.2821	7.4309	7.7437	7.5454	7.6144	7.5317	7.6613	7.728	7.6678	7.8977	7.8394	7.7098	7.6807	7.7195	7.7892	7.5031	7.4944	7.8412	7.7806	7.7766	7.7543	7.7005	7.7759	7.7723	8.0156	7.8573	7.5704	7.4296	7.4493	7.5626	7.7797	7.7884	7.53	7.5479	7.302	7.7144	7.8035	7.7809	7.8253	7.902	7.7293	7.936	7.809	7.8993	7.9493	7.7939	7.5199	7.558	7.7735	7.5545	7.7784	7.7811	7.6852	7.5664	7.6295	7.6633	7.5713	7.6367	7.4778	7.5135	7.6835	7.707	7.4762	7.2415	7.6119	7.556	7.4945	7.4864	7.451	7.4464	7.4005	7.2513	7.2911	7.3149	7.2931	7.2813	7.9485	6.9155	7.2294	7.0339				
insX	8.143	8.057	8.4533	8.2981	8.561	8.1851	8.4384	8.5533	9.2021	10.061	9.0232	8.2671	8.7	8.7388	9.7147	9.0745	8.2268	8.3043	8.3807	7.8456	8.0887	7.9129	8.8828	9.0038	9.5316	7.7035	7.9304	7.6992	8.4395	8.4264	8.6017	8.6139	8.7884	8.7901	8.7499	9.0655	8.9051	8.7259	8.7433	8.9352	8.518	8.396	8.5617	8.7003	8.8929	8.7452	8.4995	8.3746	8.2322	8.3395	8.5704	8.5489	8.4481	8.3672	8.2951	8.7588	8.7282	8.8311	8.4164	8.6649	8.6415	8.7747	8.2861	8.7637	8.9663	8.2139	8.1485	8.2267	8.351	8.4758	8.4289	8.3921	8.583	8.2933	8.4306	8.7242	8.6817	8.2547	8.2358	8.3835	8.3415	8.0913	8.2781	7.3524	7.6864	7.3575	7.5983	7.6692	7.8915	7.5808	7.1902	7.3192	7.4032	7.2744	7.1148	7.2871	7.5466	7.3266	7.0956	8.1189				
insZ	7.4604	7.125	7.2338	7.5543	7.2396	7.1642	7.1402	7.1446	7.9569	7.7202	7.4254	7.6122	7.6592	7.6441	7.778	7.7105	7.6955	7.7928	7.7047	7.6493	7.5593	7.6832	7.7343	7.7967	7.5932	7.8902	7.9069	7.9711	7.9389	7.8324	7.9919	8.0172	8.088	8.0997	8.0648	8.151	8.0977	8.1533	8.0731	8.0427	7.6174	7.8173	7.7776	7.8878	7.6105	7.7493	7.5653	7.6038	7.6751	7.7068	7.6074	7.6094	7.6652	7.6165	7.5684	7.5056	7.5549	7.7253	7.725	7.6554	7.5696	7.653	7.7179	7.7572	7.6122	7.6366	7.5674	7.7194	7.5515	7.6249	7.644	7.4602	7.5728	7.4671	7.5759	7.6589	7.6956	7.5739	7.5112	7.5251	7.6142	7.5888	7.7813	8.0826	8.0519	8.3343	7.9299	8.1656	8.0756	7.9075	8.0333	8.1181	7.9936	8.1948	8.0398	8.0575	8.1237	8.2459	8.0609	8.2416	transposition, DNA-mediated [GO:0006313]		DNA binding [GO:0003677]| transposase activity [GO:0004803]	
intA	8.4063	8.6105	8.5486	8.7741	8.4299	8.2484	8.2864	8.3425	6.4021	6.6847	7.992	7.9612	7.975	8.1959	7.3551	7.3352	7.9829	7.9674	7.9227	7.8508	7.7806	7.7825	8.0366	7.9567	8.0061	6.4849	6.861	6.8634	6.1555	6.3243	6.3943	6.0587	6.2452	6.1822	6.0359	6.3345	6.2487	6.7046	6.4043	6.3763	8.1973	8.2212	7.4341	8.0642	8.2251	8.4241	7.8298	8.092	7.7296	7.9658	8.2072	7.9214	8.2575	8.3847	7.9464	8.1879	8.2501	8.3534	7.8902	8.185	7.9429	8.196	8.1914	8.3046	8.1842	8.0652	7.9469	8.1824	7.7992	8.1517	7.971	8.1553	8.3742	8.2001	8.1095	8.2428	8.1494	8.0244	8.0964	8.34	7.9792	7.7901	7.9087	7.6508	7.7799	7.4774	7.5301	7.4201	7.4005	7.5418	7.0947	7.0698	7.3455	7.2122	7.1748	7.3198	7.678	7.4075	7.2313	7.592	provirus excision [GO:0032359]| viral entry into host cell [GO:0046718]| viral genome integration into host DNA [GO:0044826]		DNA binding [GO:0003677]| prophage integrase activity [GO:0008979]	
intB	7.7885	7.936	7.7223	7.7277	7.7968	7.6164	8.2271	7.964	7.6337	7.5944	7.7706	8.0483	7.6327	7.9264	8.1551	8.0448	7.4483	7.5283	7.6637	7.7772	7.9528	7.8729	7.6607	7.4923	7.6493	8.1686	8.3053	8.1352	8.4282	8.2287	8.3586	8.8691	8.6996	8.6713	8.7741	9.2437	9.0597	8.9332	9.1924	9.0651	7.8631	8.0446	7.9707	7.9908	8.1612	7.9902	7.8859	7.7267	7.7521	7.7711	8.1268	7.9425	8.2034	8.2109	7.8265	7.8804	7.9826	7.9696	7.8391	7.9691	7.9855	8.0054	7.9578	8.0338	8.1038	7.9244	7.7265	7.8816	7.7108	7.7333	7.8628	8.0731	8.2408	8.1667	7.9638	7.9074	7.9252	7.8963	7.799	8.0729	7.8944	7.8389	7.5351	7.2859	7.7258	7.9888	7.6987	7.6806	7.858	8.0601	8.1157	8.0834	8.0721	8.066	8.0493	7.7028	7.9458	8.2807	8.4627	8.9831	DNA integration [GO:0015074]| DNA recombination [GO:0006310]| establishment of integrated proviral latency [GO:0075713]| viral entry into host cell [GO:0046718]| viral genome integration into host DNA [GO:0044826]		DNA binding [GO:0003677]	
intD	7.4424	7.755	7.0675	7.4956	6.7444	7.3847	7.4537	7.6041	7.4272	7.3152	7.4075	7.043	7.387	7.4015	7.334	7.3888	7.4954	7.3958	7.6533	7.3452	7.1444	7.1028	7.3005	7.1431	7.3013	7.3867	6.8516	7.4924	7.4399	7.285	7.4787	7.6852	7.2481	7.541	7.4395	7.4145	7.7069	7.4783	7.6216	7.6394	7.9318	7.9336	8.0801	7.9161	8.001	8.2529	7.8902	7.7966	7.541	7.9646	8.0299	7.9291	7.4796	7.7368	7.6281	8.0938	7.866	7.6323	8.0857	8.038	7.9619	8.2157	7.9739	8.1693	8.1671	7.6947	7.7513	7.8779	7.7309	7.8194	7.8143	7.718	7.7144	7.6351	7.8886	7.7785	7.7662	7.7916	7.7365	7.6846	7.7612	7.8314	7.6368	7.5219	7.7665	7.8577	7.6562	7.7386	7.8397	7.8281	7.8629	7.8637	8.1323	8.1702	7.5393	7.4551	7.9749	7.6898	8.05	8.0824	viral entry into host cell [GO:0046718]| viral genome integration into host DNA [GO:0044826]	cytosol [GO:0005829]	DNA binding [GO:0003677]| prophage integrase activity [GO:0008979]	
intE	5.5371	5.6559	5.3653	5.5163	5.3037	5.101	7.5948	7.5738	8.4003	8.0066	5.2554	5.1821	5.3263	5.2171	5.2526	5.3177	5.2766	5.2536	5.4686	5.1283	5.2028	5.1052	5.7232	5.4596	5.2839	5.4744	5.4912	5.598	6.1776	6.1286	6.3803	10.446	10.439	10.597	11.638	11.453	11.265	11.389	11.397	11.647	5.6792	5.8285	5.9892	5.764	5.6414	5.8925	5.7335	5.8592	5.6866	5.9218	5.968	5.6605	5.635	5.9604	5.9624	5.663	5.9225	5.9366	5.7458	5.7257	5.5563	6.0028	5.8918	5.8464	5.5582	5.5793	5.5535	5.6702	5.7407	5.5765	5.7102	5.655	5.7074	5.6098	5.8539	5.6499	5.6446	5.7554	5.7041	5.8021	5.9283	5.7116	5.5739	5.3698	5.4955	6.1271	5.4209	5.4602	5.8376	5.8198	5.9732	5.6949	5.9159	5.9139	5.1015	5.2083	6.1143	5.6278	5.5902	6.3333	DNA recombination [GO:0006310]| establishment of integrated proviral latency [GO:0075713]| viral entry into host cell [GO:0046718]| viral genome integration into host DNA [GO:0044826]		DNA binding [GO:0003677]| integrase activity [GO:0008907]| protein heterodimerization activity [GO:0046982]	
intF	7.6515	7.9335	7.2984	7.659	7.6059	7.6072	7.8171	7.8907	7.4324	7.2914	8.2297	7.9792	7.5731	7.6185	7.5547	7.612	8.1505	8.4002	8.2312	7.7185	7.9714	7.7022	8.2586	8.1972	8.4916	7.4257	7.267	7.4214	7.2391	8.0638	7.8674	7.9689	7.569	7.9543	7.9267	8.0305	7.8411	7.759	7.7582	7.852	8.6052	8.4677	8.6262	8.0514	8.0796	8.2745	7.9781	7.9389	7.7787	8.0742	8.3776	8.0962	7.9915	8.2996	8.2148	8.0316	8.0092	8.1793	8.0439	8.0318	7.785	8.4026	8.381	8.3197	8.0265	8.1498	7.943	8.0406	8.1121	8.1384	8.0954	8.0859	8.1755	7.9889	8.3723	8.2264	8.2357	8.1379	7.7688	8.0994	8.0109	8.0245	7.7944	7.9543	7.9001	8.146	7.6214	7.9339	7.8458	7.7647	7.7359	7.6567	7.9743	8.0826	7.6933	7.8307	8.0109	7.4385	8.4229	7.7588	DNA integration [GO:0015074]| DNA recombination [GO:0006310]| establishment of integrated proviral latency [GO:0075713]| response to X-ray [GO:0010165]| viral entry into host cell [GO:0046718]| viral genome integration into host DNA [GO:0044826]		DNA binding [GO:0003677]	
intG	7.1666	7.0733	6.4893	7.016	6.1149	6.953	6.1898	6.3353	6.5752	6.4497	6.3065	6.6448	6.6796	6.4383	6.4858	6.5751	5.8499	5.9685	6.1032	5.8905	5.9892	6.2257	6.1964	6.2756	6.0299	6.5969	6.5053	6.5892	7.0467	7.0277	6.9659	7.1794	6.7551	7.059	7.0798	7.0834	6.9015	6.9795	6.7842	6.9838	6.1784	6.1444	6.3482	6.0175	6.0078	6.1398	5.9033	5.7581	6.024	6.2198	6.0585	5.9556	6.0905	6.1038	6.2165	5.8643	5.823	6.1816	6.1403	5.8281	5.9049	6.1201	6.1139	6.1013	5.6643	6.2469	6.0065	5.9806	6.1115	5.8517	5.9428	5.9609	5.8721	5.7455	5.939	5.217	6.0014	6.0449	6.0532	5.8449	5.9199	5.9519	5.8723	6.2335	6.5708	6.6312	6.2823	6.365	6.5477	6.6086	6.7504	6.4407	6.5686	6.475	6.3596	6.3251	6.758	6.237	6.8987	6.7455	DNA integration [GO:0015074]| DNA recombination [GO:0006310]| establishment of integrated proviral latency [GO:0075713]| viral entry into host cell [GO:0046718]| viral genome integration into host DNA [GO:0044826]			
intQ	7.2392	7.3683	7.0503	7.466	6.6193	7.0252	6.2114	6.1505	6.8419	6.9647	6.611	6.6404	6.7163	6.6653	6.89	6.7163	6.499	6.752	6.7183	6.379	6.44	6.6247	6.5745	6.5519	6.629	6.6459	6.5189	6.9072	6.6176	6.4943	6.8617	6.6181	7.0473	6.7926	6.7479	7.0672	6.8575	6.9497	6.7369	6.7401	6.7825	7.0979	7.0208	6.975	7.0014	7.0218	6.8196	6.8209	6.9479	7.0024	7.0698	6.8515	7.0854	6.9424	7.0882	6.9361	7.137	7	6.851	6.7758	6.6446	7.2724	7.103	6.9066	6.8097	6.7699	6.6811	6.8436	6.8785	6.7091	6.8711	6.7719	6.8525	6.5742	6.7869	6.8571	6.879	6.7851	6.625	6.8144	7.0153	6.7267	6.7148	6.6079	6.8069	7.074	6.7174	6.5447	7.0412	6.7845	6.9938	7.0851	7.0336	7.0307	6.5481	6.6581	6.9442	6.7678	6.808	7.787	DNA integration [GO:0015074]| DNA recombination [GO:0006310]| establishment of integrated proviral latency [GO:0075713]| viral entry into host cell [GO:0046718]| viral genome integration into host DNA [GO:0044826]		DNA binding [GO:0003677]	
intR	7.5283	7.6452	7.7974	8.0562	7.8082	7.4263	6.9311	7.0105	8.2772	7.936	7.5095	7.7286	8.0199	8.0652	8.0174	7.766	7.7315	7.9783	7.9987	7.9225	7.7967	7.9682	7.967	7.7997	7.9033	8.1681	8.0388	8.2917	8.1623	8.1272	8.335	8.4891	8.4967	8.4641	8.6283	8.5482	8.6614	8.6513	8.4984	8.6038	8.0158	8.4304	8.3689	8.2956	7.8704	8.031	8.0448	8.0229	8.1685	8.1936	8.1644	8.0103	8.0762	8.0646	8.2136	7.8967	8.0432	8.2619	7.9139	8.0783	7.8217	8.0677	8.211	8.0322	7.9817	8.161	7.9341	8.0063	7.9666	8.1823	8.2805	8.0174	7.8962	7.9362	8.0628	8.0719	7.9926	7.9393	7.7704	7.8448	8.1925	8.2123	8.1248	8.8081	8.8501	8.9268	8.7831	8.7638	8.947	8.9559	8.7895	9.0209	8.6984	9.0573	8.7787	8.7469	8.6801	8.9614	8.7788	9.6608	DNA integration [GO:0015074]| DNA recombination [GO:0006310]| establishment of integrated proviral latency [GO:0075713]| viral entry into host cell [GO:0046718]| viral genome integration into host DNA [GO:0044826]		DNA binding [GO:0003677]	
intS	6.933	7.1788	6.8393	6.9525	6.8132	6.8293	6.7934	7.0116	7.2574	7.3265	7.1616	7.0162	7.0072	6.9281	6.9248	7.2466	7.5536	7.2634	7.5955	7.3721	7.3223	7.2602	7.3501	7.4706	7.373	6.8955	7.0066	7.2023	7.1683	6.9366	6.9562	7.0683	7.1337	7.202	7.3384	7.2615	7.1533	6.9793	7.2326	7.2534	7.5001	7.4828	7.6368	7.1547	7.3469	7.3204	7.22	7.0669	7.0162	7.0017	7.3849	7.1813	6.806	6.8079	6.9379	7.284	7.2334	7.4471	7.3586	7.4533	7.3926	5.9151	7.3234	7.4327	7.2464	7.3363	7.2596	7.1802	7.4781	7.2378	7.3706	7.1613	7.0465	7.1542	7.2542	7.019	7.1423	7.1874	7.0734	7.016	7.373	7.2196	7.0583	6.9151	7.195	7.3951	6.9226	6.9022	7.1114	6.9667	6.8228	7.1962	7.0108	6.9607	6.7228	6.7834	7.2603	6.1139	6.7388	7.2828	DNA integration [GO:0015074]| DNA recombination [GO:0006310]| establishment of integrated proviral latency [GO:0075713]| provirus excision [GO:0032359]| viral entry into host cell [GO:0046718]| viral genome integration into host DNA [GO:0044826]		identical protein binding [GO:0042802]| sequence-specific DNA binding [GO:0043565]	
intZ	7.3141	7.4683	7.2071	7.8719	7.6409	7.055	7.4682	7.6988	7.7444	7.4012	7.4926	7.6212	7.4623	7.6014	7.6247	7.3928	8.361	8.4608	8.3529	8.3129	8.0912	8.1077	7.9577	7.882	7.8381	7.5582	7.6102	7.6207	7.4023	7.3429	7.5421	7.5733	7.921	7.8434	7.9341	7.8885	7.8205	7.945	7.8746	7.8767	8.2229	8.3718	8.346	8.3877	8.3967	8.3972	8.3591	8.2628	8.2767	8.5206	8.3643	8.2393	8.2373	8.3026	8.3009	8.1522	8.201	8.1802	8.1802	8.2122	8.3085	8.0874	7.9589	8.6742	8.2371	8.2277	8.245	7.9863	8.2309	8.4212	8.2893	8.2895	8.2842	8.3	8.2381	8.4773	8.4023	8.4712	8.313	8.4397	8.3425	8.172	8.2185	8.3023	8.3575	8.304	8.2531	8.4799	8.321	8.303	8.0256	8.1542	8.3688	8.2253	8.1851	8.3952	8.4017	8.2821	8.254	8.64	DNA integration [GO:0015074]| DNA recombination [GO:0006310]| establishment of integrated proviral latency [GO:0075713]| viral entry into host cell [GO:0046718]| viral genome integration into host DNA [GO:0044826]		DNA binding [GO:0003677]	
iraP	9.4313	9.7928	9.5297	9.6139	9.048	8.6744	8.7617	8.8413	9.8031	9.9589	10.86	10.73	9.6039	9.5088	9.0678	9.3287	10.587	10.088	10.698	10.862	11.256	10.509	9.7848	9.5724	9.6686	8.1268	7.7808	8.4897	9.0555	8.8529	9.1013	8.871	8.7594	9.1139	8.5353	8.5934	8.4403	8.9834	8.6202	8.5312	10.271	10.475	10.25	9.1405	9.2222	9.393	10.53	10.464	10.666	10.134	10.23	9.933	11.051	11.199	10.762	9.4114	9.4362	9.7458	8.8371	8.8482	8.5389	10.02	10.077	9.3554	9.0066	10.585	9.8778	10.54	10.075	10.311	10.104	10.337	10.131	10.355	10.308	10.18	10.453	10.243	10.137	10.149	9.8937	10.154	9.7753	9.6425	9.719	9.9188	9.8313	9.8622	10.12	10.447	10.057	10.477	11.044	10.66	10.003	10.17	10.226	11.109	11.438	10.881	cellular response to phosphate starvation [GO:0016036]| negative regulation of protein catabolic process [GO:0042177]	cytoplasm [GO:0005737]	anti-sigma factor antagonist activity [GO:0043856]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
